	rt	mkt	smb 	hml
200103	14.69	-7.26	2.31	6.45
200104	-9.49	7.94	-0.64	-4.69
200105	9.09	0.72	3.58	3.14
200106	1.08	-1.94	6.62	-1.06
200107	3.86	-2.13	-2.91	5.58
200108	10.88	-6.46	2.72	2.5
200109	15.46	-9.25	-5.69	1.6
200110	-14.31	2.46	5.41	-8.1
200111	-15.35	7.54	-0.31	2
200112	5.58	1.61	5.13	1.1
200201	1.1	-1.44	1.19	3.33
200202	15.52	-2.29	-0.47	2.5
200203	-2	4.24	4.27	1.11
200204	13.37	-5.2	6.66	3.93
200205	3.33	-1.38	-3.07	1.69
200206	11.06	-7.21	3.77	0.13
200207	-5.16	-8.18	-6.24	-3.41
200208	-3.1	0.5	-1.27	2.49
200209	12.9	-10.35	3.07	1.31
200210	-14.23	7.84	-4.12	-5.46
200211	-20.12	5.96	2.9	-1.15
200212	12.32	-5.76	0.49	2.25
200301	2.89	-2.57	0.81	-0.93
200302	-0.45	-1.88	-0.89	-1.46
200303	3.41	1.09	0.55	-2.09
200304	-15.16	8.22	1.06	1.03
200305	-14.85	6.05	4.83	-0.3
200306	-0.25	1.42	1.68	0.66
200307	-2.08	2.35	4.73	-1.15
200308	0.26	2.34	2.54	2.03
200309	-1.22	-1.24	0.52	0.02
200310	7.92	6.08	2.64	1.76
200311	2.72	1.35	2.2	1.86
200312	-10.23	4.29	-2.7	2.42
200401	1.16	2.15	2.56	1.97
200402	-2.17	1.4	-0.91	0.49
200403	0.49	-1.32	2.1	0.21
200404	-10.33	-1.83	-2.18	-2.62
200405	2.92	1.17	-0.4	-0.39
200406	0.65	1.86	2.56	1.38
200407	-4.38	-4.06	-3.01	4.1
200408	-1.84	0.08	-1.28	1.03
200409	5.13	1.6	3.28	-0.25
200410	-3.27	1.43	0.29	-0.62
200411	5.55	4.54	4.12	1.79
200412	-5.34	3.43	0.01	-0.06
200501	2.82	-2.76	-1.11	1.97
200502	1.3	1.89	-0.3	1.63
200503	1.4	-1.97	-1.41	1.58
200504	-3.33	-2.61	-4.03	-0.34
200505	0.51	3.65	2.72	-0.81
200506	5.3	0.57	3.27	2.62
200507	-1.11	3.92	2.83	-0.51
200508	4.21	-1.22	-0.86	1.27
200509	6.1	0.49	-0.31	0.77
200510	-3.46	-2.02	-1.41	0.23
200511	-0.29	3.61	0.8	-1.18
200512	1.8	-0.25	-0.28	0.44
200601	3.24	3.04	5.78	1.12
200602	-4.42	-0.3	-0.45	-0.25
200603	2.64	1.46	3.45	0.61
